tmdbId,person_id,name,character,order
27205,4935,Pete Postlethwaite,Maurice Fischer,9
98,934,Russell Crowe,Maximus,0
98,73421,Joaquin Phoenix,Commodus,1
98,935,Connie Nielsen,Lucilla,2
98,936,Oliver Reed,Proximo,3
98,194,Richard Harris,Marcus Aurelius,4
98,937,Derek Jacobi,Gracchus,5
98,938,Djimon Hounsou,Juba,6
98,939,David Schofield,Falco,7
98,940,John Shrapnel,Gaius,8
98,941,Tomas Arana,Quintus,9
602,2888,Will Smith,Capt. Steven Hiller,0
602,8984,Bill Pullman,President Thomas J. Whitmore,1
602,4785,Jeff Goldblum,David Levinson,2
602,1581,Mary McDonnell,Marilyn Whitmore,3
602,6167,Judd Hirsch,Julius Levinson,4
602,1162,Robert Loggia,General William Grey,5
602,1811,Randy Quaid,Russell Casse,6
602,8985,Margaret Colin,Constance Spano,7
602,8986,James Rebhorn,Albert Nimzicki,8
602,7420,Harvey Fierstein,Marty Gilbert,9
5503,3,Harrison Ford,Richard Kimble,0
5503,2176,Tommy Lee Jones,Samuel Gerard,1
5503,532,Joe Pantoliano,Cosmo Renfro,2
5503,1924,Jeroen Krabbé,Charles Nichols,3
5503,43774,Daniel Roebuck,Biggs,4
5503,29051,L. Scott Caldwell,Poole,5
5503,43772,Tom Wood,Newman,6
5503,57597,Ron Dean,Detective Kelly,7
5503,86576,Joseph F. Kosala,Detective Rosetti,8
5503,43773,Andreas Katsulas,Frederick Sykes,9
745,62,Bruce Willis,Malcolm Crowe,0
745,9640,Haley Joel Osment,Cole Sear,1
745,3051,Toni Collette,Lynn Sear,2
745,11616,Olivia Williams,Anna Crowe,3
745,4940,Trevor Morgan,Tommy Tammisimo,4
745,2680,Donnie Wahlberg,Vincent Gray,5
745,52861,Peter Anthony Tambakis,Darren,6
745,11619,Jeffrey Zubernis,Bobby,7
745,11621,Bruce Norris,Stanley Cunningham,8
745,10694,Glenn Fitzgerald,Sean,9
568,31,Tom Hanks,Jim Lovell,0
568,2053,Bill Paxton,Fred Haise,1
568,4724,Kevin Bacon,Jack Swigert,2
568,33,Gary Sinise,Ken Mattingly,3
568,228,Ed Harris,Gene Kranz,4
568,8183,Kathleen Quinlan,Marilyn Lovell,5
