tmdbId,person_id,name,job
194662,223,Alejandro G. Iñárritu,Director
60308,5345,Bennett Miller,Director
9475,769,Martin Brest,Director
70981,578,Ridley Scott,Director
853,2352,Jean-Jacques Annaud,Director
11224,11429,Hamilton Luske,Director
11224,64864,Clyde Geronimi,Director
11224,11434,Wilfred Jackson,Director
1245,54441,James Ivory,Director
14291,2260,Steven Zaillian,Director
217,488,Steven Spielberg,Director
4133,34849,Ted Demme,Director
61791,77357,Rupert Wyatt,Director
4964,41039,Judd Apatow,Director
109445,15774,Chris Buck,Director
109445,1120694,Jennifer Lee,Director
335984,137427,Denis Villeneuve,Director
783,4786,Richard Attenborough,Director
11113,14674,George Cukor,Director
8488,17167,Andy Tennant,Director
8584,46076,Tom Dey,Director
11977,1524,Harold Ramis,Director
271110,19272,Joe Russo,Director
271110,19271,Anthony Russo,Director
11216,65314,Giuseppe Tornatore,Director
1103,11770,John Carpenter,Director
9472,57633,Rawson Marshall Thurber,Director
4547,7467,David Fincher,Director
8960,36602,Peter Berg,Director
1777,17087,Michael Moore,Director
4944,1224,Ethan Coen,Director
4944,1223,Joel Coen,Director
10478,4037,Ron Shelton,Director
254,108,Peter Jackson,Director
9675,13235,Alexander Payne,Director
9587,58094,Gillian Armstrong,Director
7340,1150,Brian De Palma,Director
14275,122449,Steve James,Director
64688,107446,Phil Lord,Director
64688,155267,Christopher Miller,Director
1648,18356,Stephen Herek,Director
75656,18865,Louis Leterrier,Director
7446,7399,Ben Stiller,Director
888,13581,Brian Levant,Director
9535,1524,Harold Ramis,Director
546554,67367,Rian Johnson,Director
71,468,Stephen Daldry,Director
11017,57691,Tamra Davis,Director
152,1744,Robert Wise,Director
455,6220,Gurinder Chadha,Director
22881,54040,John Lee Hancock,Director
9323,12180,Mamoru Oshii,Director
82690,165787,Rich Moore,Director
805,3556,Roman Polanski,Director
796,11873,Roger Kumble,Director
847,6159,Ron Howard,Director
6280,8858,Ivan Reitman,Director
44264,1224,Ethan Coen,Director
44264,1223,Joel Coen,Director
841,5602,David Lynch,Director
2759,27889,Stephan Elliott,Director
475,6448,Arthur Penn,Director
102899,59026,Peyton Reed,Director
9869,13015,Phillip Noyce,Director
943,7187,Richard Donner,Director
11360,11426,Ben Sharpsteen,Director
11360,11427,Bill Roberts,Director
11360,5691,Samuel Armstrong,Director
11360,11434,Wilfred Jackson,Director
11360,74565,Jack Kinney,Director
11360,226599,Norman Ferguson,Director
13597,55983,Jim Henson,Director
10218,11694,Doug Liman,Director
152532,69371,Jean-Marc Vallée,Director
1598,1032,Martin Scorsese,Director
36643,10781,Michael Apted,Director
421,5655,Wes Anderson,Director
54138,15344,J.J. Abrams,Director
15144,11505,John Hughes,Director
9631,37932,F. Gary Gray,Director
324857,936670,Bob Persichetti,Director
324857,151007,Peter Ramsey,Director
324857,59918,Rodney Rothman,Director
298,1884,Steven Soderbergh,Director
11777,64061,Fred Schepisi,Director
1710,15148,Jon Amiel,Director
10998,7270,Adrian Lyne,Director
6075,1150,Brian De Palma,Director
2907,5174,Barry Sonnenfeld,Director
37136,12987,David Zucker,Director
137106,107446,Phil Lord,Director
