tmdbId,review_count,pct_positive,avg_sentiment_score
955,6,0.16666666666666666,0.9993450144926707
956,3,0.6666666666666666,0.9981024662653605
957,1,1.0,0.9988800883293152
963,4,1.0,0.9988712072372437
966,3,1.0,0.9988599220911661
967,3,1.0,0.9939605792363485
968,2,1.0,0.9987506568431854
975,3,1.0,0.9988322257995605
978,2,1.0,0.998836487531662
981,3,0.6666666666666666,0.9968428611755371
982,1,1.0,0.9989118576049805
983,3,1.0,0.9988888502120972
984,7,0.8571428571428571,0.9989774397441319
985,4,0.75,0.9973921626806259
996,6,1.0,0.9988130827744802
1018,3,0.3333333333333333,0.9992926518122355
1024,3,0.6666666666666666,0.9915693799654642
1051,1,1.0,0.9989142417907715
1073,1,1.0,0.9986746311187744
1088,1,1.0,0.9989070892333984
1089,5,1.0,0.9988657712936402
1090,4,0.75,0.9975147098302841
1091,9,1.0,0.9987422294086881
1092,5,1.0,0.9988637685775756
1103,3,1.0,0.9956457813580831
1124,6,0.8333333333333334,0.9982900520165762
1164,1,1.0,0.9621772766113281
1213,2,0.5,0.99798184633255
1245,2,1.0,0.9984863102436066
1250,6,0.6666666666666666,0.9984504282474518
1251,1,1.0,0.9988963603973389
1262,2,1.0,0.9987346827983856
1271,4,0.5,0.9990928918123245
1272,5,0.8,0.9989293336868286
1281,1,1.0,0.99737548828125
1359,4,1.0,0.9945646822452545
1360,1,1.0,0.9988865256309509
1365,1,0.0,0.9993475079536438
1366,3,1.0,0.9989179968833923
1367,4,1.0,0.9989296197891235
1368,5,0.8,0.9989533305168152
1369,4,0.75,0.9987204521894455
1370,2,0.5,0.9979259371757507
1371,3,1.0,0.9984601140022278
1372,3,1.0,0.9988286892573038
1374,3,0.6666666666666666,0.9984773000081381
1375,2,0.0,0.9974482655525208
1381,5,0.6,0.9991071820259094
1389,2,1.0,0.9983612596988678
1391,3,0.3333333333333333,0.9990753730138143
1398,4,1.0,0.9979918599128723
1402,1,1.0,0.9988896250724792
1406,2,1.0,0.9985142946243286
1412,2,0.5,0.9991423785686493
1417,3,1.0,0.9988857507705688
1422,4,1.0,0.9988924115896225
1427,2,1.0,0.9980008006095886
1428,1,1.0,0.9971440434455872
1439,1,1.0,0.9987951517105103
1443,3,0.6666666666666666,0.9984578490257263
1452,4,0.5,0.9819053262472153
1480,3,0.6666666666666666,0.9990358948707581
1487,3,1.0,0.9987936417261759
1491,3,1.0,0.9989181558291117
1493,4,1.0,0.9988742619752884
1495,2,1.0,0.9987570643424988
1523,3,1.0,0.9970298409461975
1538,3,1.0,0.9987462759017944
1541,2,1.0,0.9988271594047546
1542,3,1.0,0.99880450963974
1547,2,1.0,0.9987514913082123
1548,2,0.5,0.9990814626216888
1551,4,0.75,0.9987469613552094
1552,2,1.0,0.9989120364189148
1562,6,0.6666666666666666,0.9976312716801962
1571,4,0.75,0.9990335255861282
1572,4,1.0,0.997518002986908
1573,5,1.0,0.998149299621582
1574,4,1.0,0.9988327175378799
1576,7,0.8571428571428571,0.9986905540738787
1577,5,0.6,0.999077844619751
1578,4,0.75,0.9988562166690826
1579,3,1.0,0.9984894394874573
1580,6,0.5,0.9981346925099691
1581,2,1.0,0.9986876547336578
1584,2,1.0,0.9989053010940552
1585,6,1.0,0.9988872607549032
1586,4,0.75,0.9967075735330582
1587,4,1.0,0.9968318939208984
1588,2,1.0,0.998893141746521
1592,5,1.0,0.998910927772522
1593,2,0.5,0.9980099201202393
1597,2,1.0,0.9982810914516449
1598,3,1.0,0.998843232790629
1621,4,1.0,0.9988705664873123
1624,2,1.0,0.9987804293632507
1630,2,1.0,0.998907595872879
1632,2,1.0,0.9988293647766113
1633,2,1.0,0.998881995677948
1634,3,0.3333333333333333,0.9986946980158488
1635,6,1.0,0.998831182718277
1636,1,0.0,0.9789569973945618
1637,4,1.0,0.9986466467380524
1639,1,0.0,0.9994995594024658
1640,2,1.0,0.9988896250724792
1642,1,1.0,0.9966564178466797
1645,2,1.0,0.9988530874252319
1647,1,0.0,0.9989049434661865
1648,2,1.0,0.9989016354084015
1653,1,1.0,0.9989288449287415
1654,3,1.0,0.998756488164266
1669,3,1.0,0.9988570213317871
1687,4,0.75,0.9989577829837799
1700,1,1.0,0.9988515377044678
1701,5,1.0,0.9988707542419434
1710,1,0.0,0.9994255304336548
1715,1,1.0,0.998606264591217
1724,6,0.5,0.9931057393550873
1725,3,0.3333333333333333,0.9975478251775106
1726,10,0.9,0.9987113356590271
1734,5,0.6,0.9988386392593384
1771,9,1.0,0.9986169934272766
1779,1,0.0,0.9909359812736511
1781,2,0.5,0.9983841478824615
1788,3,0.6666666666666666,0.9986197352409363
1813,3,0.6666666666666666,0.9980339010556539
1817,2,1.0,0.9988943636417389
1824,2,1.0,0.9984233379364014
1832,3,1.0,0.998783548672994
1844,3,1.0,0.9987458189328512
1850,3,0.6666666666666666,0.9763479034105936
1858,2,0.0,0.9995021820068359
1865,5,0.6,0.9970328569412231
1878,1,1.0,0.9985382556915283
1883,1,1.0,0.9986298084259033
