tmdbId,person_id,name,job
646385,1039527,Tyler Gillett,Director
646385,66681,Matt Bettinelli-Olpin,Director
481848,66193,Chris Sanders,Director
614934,6201,Baz Luhrmann,Director
617653,578,Ridley Scott,Director
419479,36425,McG,Director
713704,1398631,Lee Cronin,Director
423204,76422,Ric Roman Waugh,Director
446021,47506,Drew Goddard,Director
426063,138781,Robert Eggers,Director
1008042,2070452,Michael Philippou,Director
1008042,2070453,Danny Philippou,Director
448119,2945,Stephen Gaghan,Director
399170,1884,Steven Soderbergh,Director
718789,7929,Angus MacLane,Director
696506,21684,Bong Joon Ho,Director
1078605,84833,Zach Cregger,Director
521029,1338249,Gary Dauberman,Director
313297,1033661,Travis Knight,Director
615777,136495,Damien Chazelle,Director
580175,4453,Thomas Vinterberg,Director
347031,1383612,Daniel Kwan,Director
347031,1317730,Daniel Scheinert,Director
926393,20907,Antoine Fuqua,Director
136799,64151,Mike Mitchell,Director
587792,1704882,Max Barbakow,Director
308531,1101410,Dave Green,Director
617126,1212522,Matt Shakman,Director
400617,4762,Paul Thomas Anderson,Director
371638,17051,James Franco,Director
1062722,10828,Guillermo del Toro,Director
582014,1252934,Emerald Fennell,Director
340102,1053420,Josh Boone,Director
514847,79434,Craig Zobel,Director
456740,57581,Neil Marshall,Director
406759,6046,Roland Emmerich,Director
594767,1302082,David F. Sandberg,Director
499932,56369,Antonio Campos,Director
417678,1572145,Stella Meghie,Director
1368337,525,Christopher Nolan,Director
600354,1150548,Florian Zeller,Director
937278,12995,Marc Forster,Director
1234821,129894,Gareth Edwards,Director
278924,52961,Dennis Gansel,Director
512196,54248,Christopher Landon,Director
267935,488,Steven Spielberg,Director
429197,55710,Adam McKay,Director
1226863,113901,Michael Jelenic,Director
1226863,1719706,Aaron Horvath,Director
1011985,64151,Mike Mitchell,Director
384521,1301933,Julius Onah,Director
695721,10943,Francis Lawrence,Director
504949,114334,David Michôd,Director
572802,2127,James Wan,Director
458576,4014,Paul W. S. Anderson,Director
1242898,568322,Dan Trachtenberg,Director
399361,556172,J.C. Chandor,Director
258230,51894,J. A. Bayona,Director
609681,1795072,Nia DaCosta,Director
458423,17510,Ol Parker,Director
