tmdbId,person_id,name,character,order
299537,9642,Jude Law,Yon-Rogg,3
299537,516,Annette Bening,Supreme Intelligence / Dr. Wendy Lawson,4
299537,938,Djimon Hounsou,Korath,5
299537,72095,Lee Pace,Ronan,6
299537,1360281,Lashana Lynch,Maria Rambeau,7
299537,97576,Gemma Chan,Minn-Erva,8
299537,9048,Clark Gregg,Agent Coulson,9
330459,72855,Felicity Jones,Jyn Erso,0
330459,8688,Diego Luna,Cassian Andor,1
330459,21088,Alan Tudyk,K-2SO,2
330459,1341,Donnie Yen,Chirrut Imwe,3
330459,77301,Jiang Wen,Baze Malbus,4
330459,77335,Ben Mendelsohn,Orson Krennic,5
330459,40638,Guy Henry,Governor Tarkin,6
330459,2178,Forest Whitaker,Saw Gerrera,7
330459,53240,Riz Ahmed,Bodhi Rook,8
330459,1019,Mads Mikkelsen,Galen Erso,9
181808,2,Mark Hamill,Luke Skywalker / Dobbu Scay (voice),0
181808,4,Carrie Fisher,Leia Organa,1
181808,1023139,Adam Driver,Kylo Ren,2
181808,1315036,Daisy Ridley,Rey,3
181808,236695,John Boyega,Finn,4
181808,25072,Oscar Isaac,Poe Dameron,5
181808,1333,Andy Serkis,Snoke,6
181808,1267329,Lupita Nyong'o,Maz Kanata,7
181808,93210,Domhnall Gleeson,General Hux,8
181808,6,Anthony Daniels,C-3PO,9
321612,10990,Emma Watson,Belle,0
321612,221018,Dan Stevens,Beast,1
321612,114019,Luke Evans,Gaston,2
321612,8945,Kevin Kline,Maurice,3
321612,7056,Emma Thompson,Mrs. Potts,4
321612,3061,Ewan McGregor,Lumière,5
321612,54415,Josh Gad,LeFou,6
321612,56103,Hattie Morahan,Agathe / Enchantress,7
321612,134698,Haydn Gwynne,Clothilde,8
321612,56101,Gerard Horan,Jean the Potter,9
447332,5081,Emily Blunt,Evelyn Abbott,0
447332,17697,John Krasinski,Lee Abbott,1
447332,1815539,Millicent Simmonds,Regan Abbott,2
447332,1590759,Noah Jupe,Marcus Abbott,3
447332,1924769,Cade Woodward,Beau Abbott,4
447332,169920,Leon Russom,Man in the Woods,5
447332,1496368,Rhoda Pell,Old Man's Dead Wife (uncredited),6
335984,30614,Ryan Gosling,'K',0
335984,3,Harrison Ford,Rick Deckard,1
335984,224513,Ana de Armas,Joi,2
335984,543530,Dave Bautista,Sapper Morton,3
